ITERATION,F1_SCORE_TRAIN,F1_SCORE_TEST,num_leaves,learning_rate,max_depth,min_child_samples,colsample_bytree,subsample,n_estimators,reg_alpha,reg_lambda,subsample_for_bin
26,0.9619991592215511,0.9239633271532567,28,0.09664455440646681,3,30,0.44454301914799244,0.2791425973720597,94,0.8977584797651015,0.39919401062441195,25
27,0.9217920821061751,0.8946130613384714,26,0.007076834094393748,4,8,0.6962669996176571,0.4569246425934735,71,0.6663275728329183,0.15397268520384266,30
28,1.0,0.9292959459110378,33,0.12450741666719288,6,12,0.3714263603863222,0.3671956798753916,96,0.7851922874806285,0.3073608065514948,47
29,1.0,0.9252933800653939,39,0.13989129164165492,6,12,0.27834574100964005,0.5381743097971347,84,0.5121721064081264,0.49452278977547653,50
30,0.9991666646990687,0.9266138908820079,32,0.2528094660078877,7,15,0.11625402553147418,0.3817249016261829,51,0.629279960786681,0.3134611531168863,17
31,0.9971666589120046,0.927313213986902,42,0.07368387236020821,8,15,0.3812973478213356,0.4572117362125952,71,0.6866910511395405,0.42351821028297,46
32,0.9998333332175925,0.9279723217984938,37,0.12661846869577803,6,16,0.31031820374306174,0.3464350562689836,86,0.7672304005114174,0.5541901820243338,24
33,1.0,0.9286370540743782,32,0.1732176281075208,8,11,0.2653967361903688,0.2536844822853177,76,0.5059466390611503,0.2235676949979442,26
34,1.0,0.9252900439603449,23,0.4749716382102202,7,5,0.34565269304705315,0.45838221558996806,97,0.7830181345015503,0.6748296549985672,48
35,0.944328480920286,0.9112859974978971,45,0.041044531758517425,6,12,0.42878528906778457,0.2926852992978722,12,0.007477967454608936,0.9844323094868539,28
36,1.0,0.9239734920231566,29,0.21671767709594283,10,10,0.3730881235502529,0.2107229118545083,53,0.9263825466642628,0.5427613830529839,17
37,0.9994999996527776,0.9266519514520205,33,0.07181743413540978,7,7,0.5454099725811551,0.5257859298071034,80,0.7068213328826082,0.30409750151078224,32
38,1.0,0.9279648847820997,38,0.3529138896109033,6,17,0.6105209116299146,0.49205493647280096,92,0.4229574074542208,0.0003987297377265886,42
39,0.998166655208229,0.9206444284920379,30,0.6377125400726169,5,9,0.17139153078740788,0.34609367714790384,64,0.9989876900145227,0.45993962120665693,10
40,0.9694996003360359,0.9246389857916922,49,0.09995857349942569,10,13,0.23223112160089454,0.24951968085536802,36,0.8223681329776918,0.6594236452518962,15
41,0.8632918408646597,0.8504120596525262,5,0.01230551410689924,2,29,0.5808549622721687,0.20485449091356484,80,0.7267358226287441,0.8546220310110028,38
42,0.9643328627201917,0.9166333766961934,43,0.030858300933011083,8,16,0.4562450832699758,0.39973525394498616,47,0.1092105871387028,0.2619808843006387,28
43,0.9938332510398347,0.9246453322333383,22,0.1718561624305132,4,10,0.5328083776183562,0.42717300377262224,57,0.6362154922645531,0.35148457377294273,19
44,0.9616655585145246,0.9306548700142055,15,0.04761429881007808,5,22,0.2568202353698882,0.13712568353895208,88,0.9199478366207423,0.1547560347587466,22
45,0.9538326792610243,0.9239694747068157,15,0.052980763969025756,5,24,0.162324374653382,0.10708116755934097,64,0.8638030659359635,0.18049784916596423,22
46,0.8658204227454247,0.8540031895249349,6,0.02668229412587786,2,22,0.10297358487084546,0.16612694482958246,67,0.9239124422978029,0.7701779177974055,14
47,0.9368328758017983,0.9186272872533534,13,0.04409808850661896,4,27,0.20321536907566093,0.7000134656666097,74,0.5834878640140393,0.26187818677442753,12
48,0.9248218868378959,0.9066309842007829,9,0.03786806536761464,3,28,0.13659550509542814,0.12299320025304089,82,0.9994424671822748,0.040528998690043325,19
49,0.9233243538008121,0.9066279690173683,7,0.023699621262942384,5,24,0.26585233455443186,0.22525517108869245,89,0.538726383318634,0.582254149331735,22
50,0.9413301597271009,0.9232975195204659,18,0.08153165008401618,3,21,0.4843338664929676,0.14973233315254889,49,0.7383375541396152,0.06512235177037093,26
51,0.928313647068863,0.8999505839851455,13,0.011523029693806171,5,18,0.319225289492475,0.5935562337892462,39,0.47005543944661765,0.9272110448265691,32
52,0.8681354300614823,0.8450347254174394,24,0.02235067446978983,2,19,0.4187689780195716,0.1017811371816551,61,0.3694737019094556,0.12215040651512094,17
53,0.9569974629984028,0.9199812374734184,27,0.06256996743759058,4,23,0.5116623838085235,0.6801219091569983,73,0.9400703159463011,0.37248326554536393,21
54,1.0,0.9225886553652678,21,0.8745397113095605,3,25,0.2374630553306391,0.17634784107497917,78,0.22113800427046904,0.6524505349070853,24
55,0.911142473267752,0.8965971654427486,47,0.014370525386022175,4,21,0.6667670465425352,0.26340678428228415,85,0.8411122312912139,0.1647150108717273,10
56,0.9478315217875954,0.9139614751698056,15,0.03513590788507899,5,26,0.39796467627536647,0.6166567713620781,67,0.8919358950406348,0.46534785489105773,29
57,0.9284865911748172,0.9052643472161173,19,0.050929317978756,2,19,0.6070970199389256,0.33211205535519756,100,0.28002222383973796,0.4125245621885151,34
58,0.9829996747586087,0.9239715865220275,40,0.0994242991119986,4,17,0.477378419891245,0.724706791761782,92,0.6606333061945315,0.23855004989330086,15
59,0.9738326005487027,0.9286339127234061,11,0.1577179342083166,3,14,0.7488280404532962,0.3052582211183455,58,0.3803976915175084,0.09328306475466203,30
60,0.9886665476836075,0.9279670030382722,15,0.06327792882485751,5,6,0.7130396534315067,0.18587507981218243,88,0.6081827902208055,0.023371337679954918,37
61,0.9346646030484088,0.9066014429044849,35,0.006780368622628474,6,21,0.28299965492477025,0.5159085493564305,54,0.9570267280427347,0.7300481551267018,40
62,0.8851985738564412,0.8689779237959764,30,0.016629511374175905,3,16,0.5752761214430573,0.4819396238778569,28,0.7383224032319032,0.5364553197654784,24
63,1.0,0.9246301062806246,26,0.2149269239803755,7,8,0.18734744301652573,0.5508195977483273,97,0.813791306976732,0.33809605705303125,20
64,0.827785474511978,0.8136231417060029,17,0.008707641896803316,2,30,0.3373831698118598,0.6654121626428878,43,0.5423659787580604,0.7829423852361528,12
65,0.9976666527776465,0.9239518600606212,9,0.26360025637810997,4,15,0.43569099921819354,0.43579256906387914,61,0.6806985765197231,0.6063204304209198,27
66,0.9991666653935157,0.9239777681634939,37,0.12995289211454722,6,12,0.38192473605373867,0.38323964708116975,95,0.856350785132266,0.3135871487991897,18
